Brand,Product_Type,Price_INR,Rating,Number_of_Reviews,Skin_Type,Age_Group,Key_Ingredient,Additional_Ingredient,Primary_Concern,Purchase_Date,Year,Month,Gender,Units Purchased,Price per Unit (₹),Brand Name,Country,State
Kiehl's,Face Mask,828.07,3.5,22,Normal,56+,Alpha Arbutin,Titanium Dioxide,Anti-aging,12/17/2023,2023,December,Male,2,414.035,Kiehl's,USA,New York
Rare Beauty,Eye Cream,1654.95,5,165,Dry,46-55,Zinc Oxide,Ceramides,Dullness,10/6/2024,2024,October,Female,4,413.7375,Rare Beauty,USA,California
Clinique,Facial Oil,2413.55,5,384,Sensitive,18-25,Azelaic Acid,Benzoyl Peroxide,Oiliness,12/18/2023,2023,December,Male,5,482.71,Clinique,USA,Chicago
Youth to the People,Cleanser,817.41,4.5,9,Combination,26-35,Kojic Acid,Retinol,Dryness,4/9/2024,2024,April,Male,5,163.482,Youth to the People,USA,Los Angeles
Clinique,Eye Cream,3658.39,5,76,Acne-prone,46-55,Glycolic Acid,Bakuchiol,Anti-aging,10/13/2023,2023,October,Male,2,1829.195,Clinique,USA,Chicago
Origins,Moisturizer,1028.64,3.7,80,Dry,18-25,Bakuchiol,Zinc Oxide,Dullness,2/6/2024,2024,February,Female,1,1028.64,Origins,India,Delhi
Estee Lauder,Eye Cream,2655,5,23,Dry,56+,Azelaic Acid,Retinol,Uneven texture,9/16/2024,2024,September,Male,4,663.75,Estee Lauder,USA,New York
The Ordinary,Facial Oil,2603.02,5,4,Dry,36-45,Benzoyl Peroxide,Bakuchiol,Anti-aging,4/16/2025,2025,April,Male,5,520.604,The Ordinary,Canada,Toronto
Aveeno,Serum,2313.85,4.7,54,Sensitive,46-55,Benzoyl Peroxide,Ceramides,Sensitivity,11/7/2023,2023,November,Male,2,1156.925,Aveeno,India,Delhi
Kiehl's,Face Mask,1039.92,2.1,40,Sensitive,26-35,Tea Tree Oil,Titanium Dioxide,Oiliness,10/28/2023,2023,October,Female,5,207.984,Kiehl's,USA,New York
Drunk Elephant,Toner,979.59,3.6,95,Combination,46-55,Peptides,Titanium Dioxide,Anti-aging,9/17/2025,2025,September,Male,4,244.8975,Drunk Elephant,India,Delhi
Fresh,Face Mask,1056.11,4.3,19,Normal,26-35,Benzoyl Peroxide,Bakuchiol,Oiliness,8/21/2025,2025,August,Male,4,264.0275,Fresh,India,Delhi
Origins,Toner,920.21,3.7,126,Dry,46-55,Zinc Oxide,Azelaic Acid,Sensitivity,7/5/2024,2024,July,Male,3,306.7366667,Origins,India,Delhi
Estee Lauder,Exfoliant,1374.25,4.4,35,Acne-prone,46-55,Glycolic Acid,Lactic Acid,Uneven texture,4/4/2024,2024,April,Male,2,687.125,Estee Lauder,USA,New York
Drunk Elephant,Face Mask,1481.9,4.3,32,Dry,18-25,Bakuchiol,Jojoba Oil,Pores,1/13/2024,2024,January,Female,4,370.475,Drunk Elephant,India,Delhi
Skinceuticals,Serum,3029.35,4.3,2,Normal,56+,Kojic Acid,Jojoba Oil,Dullness,11/19/2024,2024,November,Male,3,1009.783333,Skinceuticals,India,Delhi
Rare Beauty,Toner,736.25,4.2,21,Combination,56+,Titanium Dioxide,Lactic Acid,Dullness,11/18/2023,2023,November,Female,3,245.4166667,Rare Beauty,USA,California
Fenty Beauty,Facial Oil,1537.03,3.7,149,Combination,26-35,Alpha Arbutin,Azelaic Acid,Hyperpigmentation,3/14/2024,2024,March,Female,5,307.406,Fenty Beauty,India,Delhi
Fresh,Face Mask,695.99,3.2,26,Sensitive,56+,Zinc Oxide,Glycolic Acid,Dullness,4/28/2025,2025,April,Female,5,139.198,Fresh,India,Delhi
Tatcha,Serum,4268.35,5,57,Acne-prone,18-25,Vitamin C,Tea Tree Oil,Redness,2/6/2025,2025,February,Male,3,1422.783333,Tatcha,India,Delhi
Youth to the People,Toner,1117.49,3.3,73,Sensitive,18-25,Salicylic Acid,Retinol,Acne,3/7/2024,2024,March,Female,5,223.498,Youth to the People,USA,Los Angeles
La Roche-Posay,Night Cream,1905.9,4.6,102,Dry,26-35,Retinol,Kojic Acid,Anti-aging,12/12/2024,2024,December,Male,4,476.475,La Roche-Posay,India,Delhi
Tatcha,Serum,2400.2,4.2,77,Acne-prone,36-45,Squalane,Glycolic Acid,Dullness,4/9/2024,2024,April,Female,1,2400.2,Tatcha,India,Delhi
Youth to the People,Moisturizer,1821.32,4.2,10,Dry,36-45,Bakuchiol,Zinc Oxide,Uneven texture,10/23/2023,2023,October,Female,4,455.33,Youth to the People,USA,Los Angeles
Drunk Elephant,Facial Oil,3080.46,5,168,Dry,46-55,Glycolic Acid,Niacinamide,Dullness,7/30/2024,2024,July,Female,3,1026.82,Drunk Elephant,India,Delhi
Glossier,Cleanser,667.94,3.2,91,Dry,46-55,Vitamin C,Ceramides,Sensitivity,5/28/2025,2025,May,Female,3,222.6466667,Glossier,India,Delhi
Paula's Choice,Exfoliant,1752.69,3.7,65,Combination,56+,Salicylic Acid,Hyaluronic Acid,Oiliness,2/29/2024,2024,February,Female,4,438.1725,Paula's Choice,India,Delhi
Skinceuticals,Moisturizer,2235.04,4.6,6,Sensitive,36-45,Benzoyl Peroxide,Retinol,Redness,8/27/2024,2024,August,Female,5,447.008,Skinceuticals,India,Delhi
Drunk Elephant,Night Cream,2597.47,5,249,Normal,26-35,Zinc Oxide,Kojic Acid,Hyperpigmentation,7/11/2024,2024,July,Female,5,519.494,Drunk Elephant,India,Delhi
Glossier,Face Mask,1074.48,4.5,10,Sensitive,18-25,Jojoba Oil,Niacinamide,Redness,3/5/2024,2024,March,Female,3,358.16,Glossier,India,Delhi
